collision_time,day_of_week,weather_1,type_of_collision,road_surface,road_cond_1,lighting,point_x,point_y,at_fault,party_soberiety,oaf_1,party_number_killed,party_number_injured,move_pre_acc,vehicle_year,stwd_vehicle_type,race,victim_age,victim_sex,victim_role,safety_equip_used,victim_seating_postion,victim_ejected,severe_injury
21:20:00,5,A,D,A,H,C,-118.4600301,33.99756003,N,A,A,0,1,B,2013,C,H,37,M,1,PW,1,1,1
16:50:00,4,A,D,A,H,A,-118.447683,34.24744143,N,A,N,0,1,B,2008,C,O,37,M,1,PW,1,1,1
16:00:00,7,A,F,A,H,A,-118.3579306,34.22161542,Y,A,N,0,1,B,2006,C,H,31,M,1,PW,1,1,1
21:45:00,2,A,D,A,H,C,-118.4225915,34.01971485,N,A,N,0,1,B,2012,C,W,23,M,1,PW,1,1,0
06:55:00,5,A,H,A,H,A,-118.3987279,34.02348691,N,A,N,0,1,B,2013,C,H,46,M,1,PV,1,0,0
09:30:00,5,A,A,A,H,A,-118.3267001,34.04783012,N,A,N,0,1,B,2002,C,H,40,M,1,PW,1,0,0
09:50:00,7,B,H,A,H,A,-118.284523,34.05771602,N,A,N,0,1,B,2005,C,H,33,M,1,PW,1,0,0
12:30:00,4,A,D,A,H,A,-118.5419831,34.41884613,N,A,N,0,1,B,2016,C,W,40,M,1,PW,1,1,0
14:48:00,1,A,D,A,H,A,-118.1720071,33.93022729,Y,A,N,0,1,B,2008,C,H,24,F,1,AW,1,1,1
08:20:00,4,A,D,A,H,A,-118.5039386,34.18662,Y,A,N,0,1,B,2014,C,A,46,M,1,PW,1,1,0
23:15:00,6,A,E,A,H,C,-118.5158598,34.04505015,Y,A,N,0,2,B,2006,C,H,24,F,2,PW,0,0,0
09:39:00,2,A,A,A,H,A,-118.3613401,33.88743002,N,A,N,0,1,B,2015,C,O,21,M,1,PW,1,1,0
23:15:00,6,A,E,A,H,C,-118.5158598,34.04505015,Y,A,N,0,2,B,2006,C,H,20,M,1,PW,1,0,0
09:30:00,7,B,B,A,H,A,-118.3783626,34.09309826,N,A,N,0,1,B,2015,C,W,31,M,1,PW,1,1,1
17:15:00,3,B,B,A,H,C,-118.33088,33.97813,N,A,N,0,1,B,2016,C,B,25,M,1,PW,1,0,0
21:50:00,4,B,A,A,H,C,-118.6308945,34.16193765,N,A,N,0,1,B,2016,C,H,25,M,1,PW,1,1,0
17:50:00,1,A,D,A,H,A,-118.3040105,34.09812415,N,A,N,0,1,B,2004,C,H,37,M,1,PW,1,0,1
09:50:00,5,A,B,A,H,A,-118.32953,34.10234209,Y,A,N,0,1,J,2007,C,W,34,M,1,PV,1,0,0
17:30:00,5,B,A,B,H,B,-118.4923501,34.1671201,N,A,N,0,1,A,2011,C,O,24,M,2,GL,6,0,0
17:30:00,5,B,A,B,H,B,-118.4923501,34.1671201,N,A,N,0,1,A,2011,C,O,23,M,2,GL,4,0,0
19:05:00,5,A,D,A,H,A,-118.4936,34.02293007,N,A,N,0,1,B,2009,C,W,22,M,1,PW,1,3,0
12:45:00,6,B,B,A,H,A,-118.2682317,34.04031906,Y,A,A,0,1,B,2007,C,H,24,M,1,AM,1,0,0
18:00:00,3,A,B,A,H,C,-118.36159,34.18600007,Y,A,N,0,1,B,2002,C,H,21,M,1,PW,1,1,0
17:30:00,5,B,A,B,H,B,-118.4923501,34.1671201,N,A,N,0,1,A,2011,C,O,23,M,2,GL,3,0,0
17:30:00,5,B,A,B,H,B,-118.4923501,34.1671201,N,A,N,0,1,A,2011,C,O,40,F,1,GL,1,0,0
06:05:00,4,A,C,A,H,A,-118.393353,34.23958499,N,A,N,0,1,H,2011,C,W,47,M,1,GM,1,0,0
18:30:00,4,A,D,A,H,C,-118.3785101,34.05379012,N,A,N,0,1,B,2016,C,W,26,M,1,PW,1,0,0
13:05:00,7,B,D,A,H,A,-118.285986,33.824681,N,A,N,0,1,B,2012,C,H,23,M,1,UW,1,1,0
19:00:00,5,A,D,A,H,C,-118.3670301,34.04964004,N,A,N,0,1,B,2007,C,H,21,M,1,PW,1,0,1
13:00:00,7,B,D,A,H,A,-118.0509601,34.10106001,N,A,N,0,1,B,2002,C,H,28,M,1,PW,1,1,0
08:52:00,7,A,D,A,H,A,-118.19686,33.95006005,N,A,ZZ,0,1,B,2013,C,H,22,M,1,CM,1,1,0
15:15:00,3,A,D,A,H,A,-118.5360801,34.24274003,Y,A,N,0,1,B,2006,C,H,19,M,1,PW,1,0,0
15:35:00,1,B,D,A,H,A,-118.4225,34.1506196,N,A,N,0,1,B,2005,C,H,28,M,1,PW,1,0,0
11:00:00,2,A,D,A,H,A,-118.26287,34.12645001,N,G,N,0,1,B,2017,C,W,50,F,1,PW,1,1,1
22:10:00,1,A,D,A,H,C,-118.20535,33.94417005,N,A,ZZ,0,1,B,2012,C,H,46,M,1,AP,1,0,0
13:30:00,3,A,B,A,H,A,-118.2706555,33.92557761,Y,A,N,0,1,B,2013,C,B,22,M,1,PW,1,0,1
12:28:00,6,A,D,A,H,A,-118.1519842,34.08797821,N,A,N,0,1,B,2015,C,W,46,M,2,GM,3,0,0
12:28:00,6,A,D,A,H,A,-118.1519842,34.08797821,N,A,N,0,1,B,2015,C,W,27,M,1,PW,1,1,0
17:43:00,3,A,D,A,H,A,-118.13448,34.07391008,N,A,N,0,1,B,2009,C,A,27,M,1,PW,1,1,0
08:08:00,3,A,D,A,H,A,-118.1345844,34.08556439,N,A,N,0,1,B,2013,C,A,34,F,1,PW,1,1,0
14:51:00,6,B,B,A,H,A,-118.13452,34.07755417,N,A,N,0,1,B,2015,C,A,30,M,1,PW,1,1,0
23:15:00,4,C,D,B,H,C,-118.0730901,34.67523003,N,H,A,0,1,B,2006,C,W,23,M,1,PW,1,2,0
20:48:00,3,A,D,A,H,C,-118.16566,34.69023712,N,H,N,0,1,B,2003,C,W,35,M,1,PW,1,3,0
15:01:00,1,A,H,A,H,A,-117.9893205,34.12442719,Y,A,A,0,1,M,2002,C,H,56,M,1,PW,1,0,1
12:15:00,4,A,H,A,H,A,-118.4226201,34.02972003,N,A,K,0,1,B,2005,C,W,48,M,1,PW,1,1,0
17:38:00,4,A,D,A,H,A,-118.2241247,34.01437386,Y,A,N,0,1,I,2016,C,H,27,M,1,PW,1,1,0
16:15:00,5,A,B,A,H,A,-118.3265301,33.88290012,N,A,N,0,1,B,2015,C,H,24,M,1,NW,1,3,0
13:15:00,4,A,C,A,H,A,-118.1247424,33.78849568,Y,A,F,0,1,H,2017,C,W,24,M,1,PW,1,1,0
12:45:00,1,A,H,A,H,A,-118.2716901,34.11700001,N,A,ZZ,0,1,B,2006,C,W,32,M,1,PV,1,1,0
20:35:00,2,B,H,A,H,C,-118.1723138,34.08876947,Y,A,N,0,1,D,2004,C,O,24,M,1,PW,1,1,0
21:00:00,1,A,C,A,H,C,-118.451325,34.0303635,Y,A,N,0,1,H,2017,C,H,22,M,1,PW,1,1,0
18:20:00,4,A,D,A,B,C,-118.3843801,34.03164002,Y,A,N,0,1,B,2008,C,H,40,M,1,PW,1,0,0
21:00:00,1,A,C,A,H,C,-118.451325,34.0303635,N,A,N,0,1,H,2012,C,H,27,M,1,PW,1,1,0
12:40:00,2,A,A,A,H,A,-118.467944,34.04673547,N,A,H,0,1,D,2007,C,W,57,M,1,MP,1,1,0
22:57:00,2,A,E,A,H,C,-118.658994,34.138645,Y,B,A,0,2,B,2012,C,W,34,M,1,PW,1,0,0
03:40:00,7,A,D,B,H,C,-118.2369801,34.00896011,N,C,N,0,2,B,2016,C,H,28,M,2,GL,3,0,0
03:40:00,7,A,D,B,H,C,-118.2369801,34.00896011,N,C,N,0,2,B,2016,C,H,28,M,1,GL,1,0,0
22:57:00,2,A,E,A,H,C,-118.658994,34.138645,Y,B,A,0,2,B,2012,C,W,34,F,2,PY,2,0,0
07:51:00,5,A,D,A,H,A,-118.1981089,33.9713725,N,A,N,0,1,B,2011,C,H,23,M,1,PW,1,1,0
17:29:00,3,E,D,A,H,B,-118.7200119,34.03393858,N,A,N,0,1,B,2001,C,W,38,M,1,PW,1,1,0
13:00:00,2,A,D,A,H,A,-118.5075443,34.1605249,Y,A,N,0,1,I,2004,C,B,31,M,1,PW,1,0,0
