case_id,party_number,victim_number,accident_year,collision_time,day_of_week,weather_1,primary_coll_factor,type_of_collision,at_fault,party_sex,party_soberiety,oaf_1,move_pre_acc,vehicle_year,vehicle_make,stwd_vehicle_type,race,road_surface,road_cond_1,lighting,point_x,point_y,victim_age,severe_injury,safety_equip_used,victim_sex,victim_seating_postion,victim_ejected
90575067,2,1,2017,930,2,A,A,E,N,M,A,N,B,2001,DODGE,D,W,A,H,A,-118.6236343,34.27567315,74,0,GM,M,1,0
90929513,1,1,2019,205,7,A,A,E,Y,M,B,A,R,2000,CHEV,D,H,A,H,D,-118.5058899,34.34196854,36,1,GL,M,1,0
90929513,1,2,2019,205,7,A,A,E,Y,M,B,A,R,2000,CHEV,D,H,A,H,D,-118.5058899,34.34196854,35,1,HL,F,3,0
91133280,1,1,2019,700,6,B,A,C,Y,M,A,N,M,1996,TOYO,D,H,A,H,A,-117.9196243,34.03089523,48,0,HM,F,3,0
8201524,2,1,2017,1331,5,A,A,D,N,M,A,N,B,2014,CHEVROLET,D,H,A,H,A,-117.9441701,34.02809005,39,0,GM,M,1,0
8377796,2,1,2017,750,5,A,A,D,N,M,A,N,B,2001,DODGE,D,H,A,H,A,-118.2322801,34.03258005,43,0,GM,M,1,0
8647331,2,1,2018,1741,6,A,A,D,N,M,A,N,B,2008,TOYOTA,D,W,A,H,A,-118.0430908,34.04658127,43,0,GM,M,1,0
8703986,1,1,2018,1345,2,A,A,D,N,M,A,N,B,1989,TOYOTA,D,H,A,H,A,-118.151001,34.05331039,60,0,GM,M,1,0
8892498,2,1,2019,2145,7,A,A,C,N,M,A,N,A,2010,TOYOTA,D,H,A,H,C,-118.3870773,34.18667984,25,0,GM,F,3,0
8921887,2,1,2019,1841,5,A,A,C,N,M,A,N,H,2001,FORD,D,H,A,H,A,-118.1415634,34.159729,40,0,GM,M,3,0
8951330,1,1,2019,2115,2,A,A,D,Y,M,A,N,E,2004,FORD,D,W,A,H,C,-118.0640564,33.93547058,20,0,GL,M,1,0
90551478,2,1,2017,615,4,A,A,B,N,F,A,N,B,2004,TOYT,D,H,A,H,D,-117.9837575,34.01503288,18,0,GM,F,1,0
90665227,2,1,2018,1330,5,A,A,C,N,M,A,N,B,2011,FORD,D,H,A,H,A,-118.4277573,34.02377319,46,0,GM,M,1,0
90788202,1,1,2018,1545,5,A,A,C,Y,M,A,N,B,2000,FORD,D,H,A,H,A,-118.0032272,34.06457901,68,0,GL,M,1,0
90819147,1,1,2018,755,6,A,A,C,Y,M,A,N,J,1997,FORD,D,H,A,H,A,-118.2216339,34.17417526,37,0,GM,M,1,0
90909228,2,1,2019,1305,5,A,A,C,N,M,A,N,A,2011,CHEV,D,H,A,H,A,-118.1043091,33.92225266,70,0,GM,M,1,0
91040754,2,1,2019,555,6,A,A,C,Y,M,A,N,B,2017,RAM,D,W,A,H,A,-118.2766037,34.02363205,41,0,GM,M,1,0
8345019,2,1,2017,800,1,B,A,C,N,M,A,N,A,1994,CHEVROLET,D,H,A,H,A,-118.2828452,33.90134419,42,0,GM,M,1,0
8465991,1,1,2019,2223,5,A,A,D,Y,M,B,A,B,2018,NISSAN,D,H,A,H,C,-118.176857,33.84703827,20,1,GL,M,1,0
8515225,2,1,2017,1720,4,A,A,D,Y,M,A,N,B,1985,NISSAN,D,H,A,H,C,-118.4290601,34.25311012,25,0,MP,F,3,0
8537074,2,1,2017,652,5,A,A,D,N,M,A,N,B,2012,NISSAN,D,W,A,H,A,-118.3645162,34.09440969,43,0,GL,M,1,0
8603268,2,1,2018,1155,4,A,A,D,N,M,A,N,B,2001,TOYOTA,D,H,A,H,A,-118.4319305,34.21960068,43,0,GM,M,1,0
8710135,2,1,2018,1550,2,A,A,C,N,F,A,N,A,2004,DODGE,D,H,A,H,A,-118.8015518,34.14504242,49,0,GM,F,1,0
8710135,2,2,2018,1550,2,A,A,C,N,F,A,N,A,2004,DODGE,D,H,A,H,A,-118.8015518,34.14504242,17,0,GM,M,3,0
8739963,1,1,2018,1417,4,A,A,D,Y,F,A,N,B,2018,KIA,D,W,A,H,A,-118.370079,33.96158981,66,0,GL,F,3,0
8739963,1,2,2018,1417,4,A,A,D,Y,F,A,N,B,2018,KIA,D,W,A,H,A,-118.370079,33.96158981,32,0,GL,F,4,0
8739963,1,3,2018,1417,4,A,A,D,Y,F,A,N,B,2018,KIA,D,W,A,H,A,-118.370079,33.96158981,6,0,GL,M,6,0
8894934,1,1,2019,2310,6,A,A,B,Y,M,B,A,B,2018,TOYOTA,D,H,A,H,C,-118.3089752,33.97555161,52,0,GL,M,1,0
8912069,2,1,2019,1435,1,A,A,D,N,M,A,N,B,2019,TOYOTA,D,H,A,H,A,-118.4309082,34.20119095,44,0,GM,M,1,0
8912069,2,2,2019,1435,1,A,A,D,N,M,A,N,B,2019,TOYOTA,D,H,A,H,A,-118.4309082,34.20119095,52,0,GM,F,3,0
8929555,2,1,2019,1715,6,A,A,D,N,M,A,N,E,2000,GMC,D,H,A,H,A,-118.2695999,33.99972916,59,0,CY,M,1,0
8940413,1,1,2019,906,3,A,A,C,Y,M,A,N,H,2008,DODGE,D,H,A,H,A,-118.3644485,33.87290955,23,0,GM,M,1,0
8978755,1,1,2019,1830,5,A,A,C,Y,M,G,F,B,1994,DODGE,D,H,A,H,C,-118.0511017,34.05185699,38,0,GL,M,1,0
90384108,2,1,2017,754,3,A,A,D,N,M,A,N,B,2003,GMC,D,H,A,H,A,-118.2477101,33.98002011,62,0,GL,M,1,0
90945965,1,1,2019,947,6,B,A,E,Y,M,A,H,R,2007,FORD,D,H,B,H,A,-118.4540405,34.27680969,51,0,GM,M,1,0
8579124,2,1,2018,1835,3,A,A,D,N,M,A,N,B,2002,FORD,D,W,A,H,C,-118.4137573,34.17942047,35,0,GM,M,1,0
8583966,2,1,2018,1918,4,A,A,D,N,M,A,N,E,2006,TOYOTA,D,H,A,H,A,-117.9982224,34.07751846,27,0,GM,F,3,0
8648160,2,1,2018,1700,1,A,A,D,N,M,A,N,B,2002,CHEVROLET,D,W,A,H,B,-118.2014389,34.67644119,20,0,HL,M,1,0
8804918,2,1,2019,635,3,C,A,D,N,M,A,N,B,1997,DODGE,D,H,B,H,A,-118.5975189,34.20463181,46,0,GL,M,1,0
8854795,1,1,2019,917,5,A,A,D,Y,M,A,N,B,2001,FORD,D,H,A,H,A,-118.11233,34.66776,52,0,GM,F,3,0
8854795,1,2,2019,917,5,A,A,D,Y,M,A,N,B,2001,FORD,D,H,A,H,A,-118.11233,34.66776,57,0,GM,M,4,0
8944589,2,1,2019,1230,4,A,A,D,N,F,A,N,B,2019,CHEVROLET,D,H,A,H,A,-118.2583618,33.89577103,37,0,GM,F,1,0
90498669,1,1,2017,1540,6,A,A,C,N,M,A,N,H,1999,FORD,D,H,A,H,A,-118.2104404,34.02727203,53,0,GM,M,1,0
90573020,2,1,2017,805,1,A,A,C,N,M,A,N,A,2007,FORD,D,W,A,H,A,-118.3807443,34.16011092,66,0,GM,M,1,0
90697528,1,1,2018,140,7,A,A,E,Y,M,B,A,R,2015,CHEV,D,H,A,H,C,-118.4705429,34.16046143,39,0,GL,F,3,0
90697528,1,2,2018,140,7,A,A,E,Y,M,B,A,R,2015,CHEV,D,H,A,H,C,-118.4705429,34.16046143,31,0,GL,M,1,0
91104745,1,1,2019,1415,1,A,A,C,Y,M,A,N,R,2008,GMC,D,H,A,H,A,-118.3909378,34.43378448,49,1,GP,M,1,0
8322748,1,1,2017,2109,1,A,A,C,Y,M,B,A,B,2008,NISSAN,D,H,A,H,C,-118.0026051,33.95484329,42,0,GM,M,1,0
8590320,1,1,2018,2008,7,A,A,A,Y,F,A,N,E,2003,TOYOTA,D,H,A,H,C,-118.3178635,33.88740921,56,0,GM,F,1,0
8590320,1,2,2018,2008,7,A,A,A,Y,F,A,N,E,2003,TOYOTA,D,H,A,H,C,-118.3178635,33.88740921,14,0,GM,F,3,0
8749700,2,1,2018,1105,1,A,A,D,N,M,A,N,D,1982,FORD,D,H,A,H,A,-117.761528,34.07094955,18,0,GM,M,3,0
8784334,2,1,2019,1310,5,A,A,D,N,M,A,N,B,2002,CHEVROLET,D,B,A,H,A,-118.3088913,34.02555084,56,0,GL,M,1,0
8826953,1,1,2019,1700,3,A,A,A,Y,F,A,N,F,2006,TOYOTA,D,H,A,H,B,-118.5010223,34.3035202,57,0,GL,F,1,0
8903111,2,1,2019,754,3,A,A,D,N,M,A,N,B,2004,NISSAN,D,H,A,H,A,-118.0552597,34.07430649,13,0,GM,M,3,0
8926800,2,1,2019,1043,3,A,A,C,N,M,A,ZZ,A,2006,TOYOTA,D,W,A,H,A,-118.6233826,34.18591309,58,0,GM,M,1,0
90391563,2,1,2017,2120,5,B,A,D,N,M,A,N,B,2014,TOYO,D,H,A,H,C,-117.92738,34.0264701,63,0,GL,M,1,0
90407402,1,1,2017,640,7,C,A,E,Y,F,A,N,B,2004,TOYOTA,D,H,B,H,A,-118.06385,34.0047,69,0,GL,F,1,0
90426100,1,1,2017,1550,5,A,A,B,Y,M,A,N,R,2003,FORD,D,W,A,H,A,-118.4398051,34.03874695,54,0,GM,M,1,0
90448505,2,1,2017,30,7,A,A,C,Y,M,A,N,B,2004,DODGE,D,H,A,H,C,-118.2167862,34.04372713,58,0,GM,F,3,0
90448505,2,2,2017,30,7,A,A,C,Y,M,A,N,B,2004,DODGE,D,H,A,H,C,-118.2167862,34.04372713,39,0,GP,F,6,0
90460937,1,1,2017,2108,6,A,A,C,N,M,A,N,B,2016,GMC,D,H,A,H,C,-118.2542318,34.05778251,21,0,GM,F,3,0
90627874,3,1,2017,1450,5,A,A,C,N,M,A,N,A,2003,CHEVROLE,D,H,A,H,A,-118.0688,33.9947,43,0,GM,M,1,0
90627874,3,2,2017,1450,5,A,A,C,N,M,A,N,A,2003,CHEVROLE,D,H,A,H,A,-118.0688,33.9947,61,0,GM,M,3,0
90634383,2,1,2018,1425,3,B,A,C,N,M,A,N,A,2017,TOYT,D,H,A,H,A,-117.8367233,34.00159836,53,0,GM,M,1,0
90688991,3,1,2018,1700,5,B,A,C,N,M,A,N,A,2018,CHEVY,D,W,B,H,A,-118.1053467,33.90417099,56,0,GM,M,1,0
90971066,1,1,2019,650,5,A,A,E,Y,F,A,N,R,1996,CHEV,D,B,A,H,A,-118.1616974,34.11917114,55,0,GM,F,1,0
91088623,2,1,2019,1620,1,A,A,C,N,M,A,N,B,2002,GMC,D,W,A,H,A,-118.0375061,34.02745819,60,0,GM,M,1,0
91088623,2,2,2019,1620,1,A,A,C,N,M,A,N,B,2002,GMC,D,W,A,H,A,-118.0375061,34.02745819,70,0,GM,M,3,0
8201403,1,1,2017,1735,2,A,A,F,Y,M,B,A,B,1993,CHEVROLET,D,B,A,H,A,-118.216725,33.83244508,39,0,GM,M,1,0
8433364,1,1,2017,1600,7,A,A,C,Y,M,B,A,B,2004,FORD,D,H,A,H,A,-118.5621414,34.22035,29,0,GM,M,1,0
8551441,1,1,2018,2310,6,B,A,C,Y,M,B,A,B,2005,TOYOTA,D,H,A,H,C,-118.4312515,34.20167923,28,0,GL,F,3,0
8562535,2,1,2018,1830,2,A,A,C,N,M,A,N,A,2006,FORD,D,H,A,H,C,-118.4052277,34.20791245,35,0,GM,M,1,0
8879082,1,1,2019,1720,3,A,A,C,Y,F,A,K,B,1995,NISSAN,D,A,A,H,A,-118.0120392,33.92551041,49,0,GM,F,1,0
8879082,1,2,2019,1720,3,A,A,C,Y,F,A,K,B,1995,NISSAN,D,A,A,H,A,-118.0120392,33.92551041,22,0,GM,F,2,0
8879082,1,3,2019,1720,3,A,A,C,Y,F,A,K,B,1995,NISSAN,D,A,A,H,A,-118.0120392,33.92551041,22,0,GM,M,3,0
8947989,2,1,2019,1359,6,A,A,D,N,F,A,N,B,2005,FORD,D,H,A,H,A,-117.7674713,34.05379486,54,0,GM,F,1,0
8948026,1,1,2019,757,4,A,A,D,Y,M,A,N,E,2005,GMC,D,H,A,H,A,-118.1313477,33.93603134,36,0,GM,M,1,0
8948026,1,2,2019,757,4,A,A,D,Y,M,A,N,E,2005,GMC,D,H,A,H,A,-118.1313477,33.93603134,36,0,GM,M,3,0
90435555,1,1,2017,1939,6,A,A,C,N,M,A,N,B,2007,CHEV,D,H,A,H,C,-118.2635729,34.0496713,34,0,GM,M,1,0
90479486,2,1,2017,1550,1,A,A,D,N,M,A,N,B,2008,TOYOTA,D,H,A,H,A,-118.1553198,34.02688396,43,0,GM,M,1,0
90553638,1,1,2017,2152,3,A,A,B,Y,M,A,N,J,1993,CHEV,D,W,A,H,D,-118.2618073,34.4981851,19,0,GP,M,1,0
90906496,1,1,2019,820,4,A,A,C,Y,M,A,N,B,2015,NISS,D,H,A,H,A,-118.2026672,33.92189026,23,0,GL,F,3,0
91001499,2,1,2019,610,5,A,A,C,N,M,A,G,A,2004,GMC,D,H,A,H,A,-118.1306992,34.07171631,33,0,GM,M,1,0
91027555,1,1,2019,2035,7,A,A,E,Y,M,B,N,M,2001,NISS,D,H,A,H,D,-118.3251724,34.63055038,36,0,GL,M,1,0
8381750,1,1,2017,1805,5,A,B,B,Y,M,A,M,D,2010,FORD,D,H,A,H,A,-118.4049329,34.14269551,47,0,GM,M,1,0
8421560,1,1,2017,1210,5,A,A,D,Y,M,A,N,E,2000,DODGE,D,H,A,H,A,-118.5032801,34.15976007,25,0,GM,F,6,0
8421560,1,2,2017,1210,5,A,A,D,Y,M,A,N,E,2000,DODGE,D,H,A,H,A,-118.5032801,34.15976007,3,0,GM,F,4,0
8421560,1,3,2017,1210,5,A,A,D,Y,M,A,N,E,2000,DODGE,D,H,A,H,A,-118.5032801,34.15976007,0,0,GM,F,5,0
8796905,2,1,2019,1234,3,A,A,D,N,M,A,N,B,2004,DODGE,D,W,A,H,A,-118.2545166,34.71852112,38,0,GL,M,1,0
8829493,2,1,2019,947,2,A,A,D,N,M,A,N,B,2002,TOYOTA,D,H,A,H,A,-118.4486923,34.15143967,34,0,GM,M,1,0
8939209,1,1,2019,52,7,A,A,B,Y,M,B,A,B,2007,CHEVROLET,D,H,A,H,C,-118.5821838,34.22819519,19,1,HL,M,3,0
8939209,1,2,2019,52,7,A,A,B,Y,M,B,A,B,2007,CHEVROLET,D,H,A,H,C,-118.5821838,34.22819519,16,1,HL,M,2,0
8939209,1,3,2019,52,7,A,A,B,Y,M,B,A,B,2007,CHEVROLET,D,H,A,H,C,-118.5821838,34.22819519,30,0,BL,M,1,2
8950094,1,1,2019,1227,7,A,A,D,Y,M,A,N,F,1998,CHEVROLET,D,H,A,H,A,-118.4159698,33.93146133,16,0,GM,M,3,0
90394897,4,1,2017,1920,6,A,A,C,N,F,A,N,H,2004,TOYT,D,O,A,H,D,-118.3682603,33.9297649,50,0,GM,F,1,0
90445316,1,1,2017,1500,6,A,A,E,Y,M,B,A,M,2001,NISS,D,W,A,H,A,-118.39526,34.6622801,26,0,HM,M,1,0
90687193,2,1,2018,1505,4,A,A,C,N,F,A,G,A,2006,TOYO,D,W,A,H,A,-118.1787949,34.05804825,29,0,GM,F,1,0
90923364,2,1,2019,1515,6,C,A,B,N,M,A,N,B,2010,FORD,D,A,B,H,A,-118.6278458,34.27417374,50,0,GM,M,1,0
91037057,1,1,2019,720,6,A,A,C,N,M,A,N,B,2010,DODG,D,W,A,H,A,-118.1334305,34.57077026,34,0,GM,F,3,0
8290521,2,1,2017,1235,5,B,A,D,N,M,A,N,E,2014,TOYOTA,D,H,B,H,A,-118.45747,34.20847004,42,0,GL,M,3,0
8290521,2,2,2017,1235,5,B,A,D,N,M,A,N,E,2014,TOYOTA,D,H,B,H,A,-118.45747,34.20847004,63,0,GL,M,5,0
8293982,2,1,2017,954,6,B,A,B,Y,M,A,ZZ,J,2013,TOYOTA,D,H,A,H,A,-118.0502776,34.04069196,44,0,GM,M,1,0
8430336,2,1,2017,1620,6,A,A,A,N,M,A,N,B,2003,FORD,D,O,A,H,A,-118.28871,34.11307,52,0,GL,M,1,0
